review,rating
25 Desember 2023Situs petirtaan yang baru pertama saya kunjungi yang terdiri dari dua kolam dengan kedalaman air sekitar 120 centimeter dengan air yang berasa hangat - hangat …,5
"Tempat nya lumayan bersih dan sedikit luas , kolamnya ada dua bagianKondisi air yg saya coba hangat"" kuku sajaAkses kelokasi mudah dan tidak terlalu jauh dari jalan besar",4
"Petirtaan era Mataram Kuno di pinggir kabupaten Magelang. Airnya tidak terlalu hangat tapi natural. Ada belerangnya. Menarik melihat artefak seperti kirtimuka, batu-batuan candi, miniatur candi dan lain sebagainya. Lokasinya tidak jauh dari jalan raya tetapi saya beberapa kali kelewatan karena papan penandanya tertutup poster kampanye.",5
"Makin bagus pengelolaannya, namun sayang banget banyak pohon perindang yang mulai menghilang, jadi kalau siang hari panas banget",5
Hari ini pertama kali berkunjung ke pemandian air hangat candi umbul..pas sampe kesana agak sepi jadi nyaman buat mandi.. …,4
bagus tempate utk nyante...anak² remang / mandi air hangat...cuma utl toilet kok cuman 1 saja....kran air jg hanya di 1 tempat saja....bingung klo kebelet pas antro jg kahal td,5
"tempat healing wajib tiap satu minggu sekali soalnya deket rumah.saran kalau ke sini jangan weekend, rame.",5
Harus pinter pinter cari waktu yg pass. Karena kolam kecil pengunjung lumayan banyak. Jadi kolam mudah kotor. Paling bagus pagi pagi jam 7 selain Minggu.,4
"Ada 2 kolam dengan ukuran yang berbeda. Sumber airnya cenderung hangat, apalagi kalau kesini jam 6 pagi, masih hangat betul airnya. Dengan pemandangan yang asri, sangat cocok untuk hiling""",5
"Pemandian air panas Candi Umbul, tiket masuk Rp6000/orang, parkir motor Rp3000, parkir mobil Rp5000. Kebetulan pas saya kesana, masih pagi jadi air masih bersih. Kata orang, sering kotor soalnya. …",3
"Mandi hangat, Untuk nostalgia jaman kerajaan tempo dulu ( abad IX )Tp sayang fasilitas penunjang / bilasan air tinggal 25% yg fungsiPemda harus turun tangan nih !",3
"Tempat pemandian air panas yang ga begitu panas, lokasi cukup jauh dari jalan raya. Pelayanannya baik, mungkin perlu ditingkatkan kebersihan dan memperbaiki fasilitas yang ada.",4
Peta Menuju Candi Umbul sesuai.Jalan menuju ke lokasi sudah aspalTetapi jalanan cukup curam. …,3
"Candi umbul, candinya emang kecil sih yg jadi objek utama malah pemandiannya, ingat ini pemandian air hangat , kalo cari yg panas bukan disini :v tpi kali mau sedikit pas. Basuh dulu pake air bilas di deket kamar mandi karna airnya mantul …",4
"Letaknya di daerah Grabag, Magelang. Ditemukan situs dengan sumber air hangat di daerah ini, kemudian dibuka untuk umum. Tidak bau tp tetap mengandung belerang. Airnya sedikit keruh shg wajib bilas setelah mandi di sini. Kolamnya kecil, …",4
"Ada tempat ganti pakaian , ada toilet, laki dan perempuan dipisah. Jumlah nya masing masing 1 antri 😁 ada kantin juga. …",4
"Bersih, dan terawatFasilitasnya j7ga okeCuma ada bbrpa kran bilas yg rusak",5
Salah satu pemandian air hangat yang recommended di Grabag Magelang cocok untuk membawa sanak famili saudara adik kakak anak cucu cicit ke sini. Namun perlu diperhatikan ketika weekend sangat ramai. Dan juga areanya cukup sempit dan licin sehingga perlu perhatian ekstrak ketika anak-anak ingin ikut berenang,5
"lebih enak jika datang dipagi hari air masih anget masih sepi juga...Candi Umbul adalah situs purbakala berupa pemandian air panas yang terletak di Kabupaten Magelang, Jawa Tengah, Indonesia. Candi ini dibangun sejak zaman Wangsa …",5
Situs Candi Pemandian Air Panas yang Unik. Peninggalan Kerajaan Medang/Mataram Kuna abad ke 8 Masehi.,5
kolam air hangat yg nyaman,5
"Pemandian ini buka setiap hari, kecuali kalau lagi di kuras itu pun sebulan sekali.. airnya hangat cocok untuk melepas lelah...",5
"Senang dgn peninggalan masa lampau, walau tidak terlalu luas. Semoga orang² yg berkunjung kesana lebih mempedulikan kebersihan karena situs candi umbul merupakan peninggalan sejarah.",4
Situs candi asli tinggal tumpukan batuPas saya kesini tanggal 8 JuniAir tidak terlalu panas …,3
Gak ada aer buat bilas.. kamar ganti nya bnr2 kamar ganti dan cukup kotor.. area kolam pemandiannya lumayan tertata rapi n nyaman.. aer pemandiannya jg byk lumut🙏🙏🙏 …,3
